,DCP,DNCP,OPCP,HPCP,LPCP,CPCP,ACPCP,VTCP,MPN5P
0,2020-01-02,43832.0,28.3,28.713333,28.114,28.684,28.684,142981500.0,30.9241665
1,2020-01-03,43833.0,29.366667,30.266666,29.128,29.534,29.534,266677500.0,31.58
2,2020-01-06,43836.0,29.364668,30.104,29.333332,30.102667,30.102667,151995010.0,32.11933
3,2020-01-07,43837.0,30.76,31.442,30.224,31.270666,31.270666,268231500.0,32.809334
4,2020-01-08,43838.0,31.58,33.232666,31.215334,32.809334,32.809334,467164500.0,33.93316625
5,2020-01-09,43839.0,33.14,33.253334,31.524668,32.089333,32.089333,426606020.0,34.297333
6,2020-01-10,43840.0,32.11933,32.329334,31.58,31.876667,31.876667,194392500.0,34.378
7,2020-01-13,43843.0,32.9,35.042,32.8,34.990665,34.990665,397764000.0,34.993332
8,2020-01-14,43844.0,36.284,36.494,34.993332,35.861332,35.861332,434943000.0,35.0481665
9,2020-01-15,43845.0,35.317333,35.856,34.452667,34.566666,34.566666,260532000.0,35.90733325
10,2020-01-16,43846.0,32.916668,34.297333,32.811333,34.232666,34.232666,326050500.0,37.273335
11,2020-01-17,43847.0,33.840668,34.378,33.544,34.033333,34.033333,204436500.0,37.61667
12,2020-01-21,43851.0,35.35,36.572,35.227333,36.48,36.48,267052500.0,37.79333
13,2020-01-22,43852.0,38.126,39.63333,37.273335,37.97067,37.97067,470535000.0,37.828667
14,2020-01-23,43853.0,37.61667,38.8,37.04,38.146667,38.146667,294765000.0,37.899334
15,2020-01-24,43854.0,38.042,38.25733,36.95067,37.654667,37.654667,215304000.0,38.5651665
16,2020-01-27,43857.0,36.132668,37.629333,35.952,37.201332,37.201332,204121500.0,42.168
17,2020-01-28,43858.0,37.899334,38.454,37.205334,37.79333,37.79333,176827500.0,43.371334
18,2020-01-29,43859.0,38.379333,39.32,37.828667,38.732666,38.732666,267022500.0,46.940666
19,2020-01-30,43860.0,42.16133,43.392,41.2,42.72067,42.72067,435085500.0,48.98
20,2020-01-31,43861.0,42.666668,43.533333,42.168,43.371334,43.371334,235789500.0,49.930668
21,2020-02-03,43864.0,44.912666,52.409332,44.901333,52.0,52.0,705975000.0,51.418667
22,2020-02-04,43865.0,58.864,64.599335,55.592,59.137333,59.137333,914082000.0,51.252666
23,2020-02-05,43866.0,54.884,56.398666,46.940666,48.98,48.98,726357000.0,51.252666
24,2020-02-06,43867.0,46.66133,53.055332,45.8,49.930668,49.930668,598211970.0,51.411332249999994
